Date,		new_houses_for_sale
Jan 1963,	234
Feb 1963,	236
Mar 1963,	246
Apr 1963,	254
May 1963,	254
Jun 1963,	256
Jul 1963,	251
Aug 1963,	258
Sep 1963,	249
Oct 1963,	269
Nov 1963,	260
Dec 1963,	265
Jan 1964,	261
Feb 1964,	259
Mar 1964,	267
Apr 1964,	269
May 1964,	272
Jun 1964,	267
Jul 1964,	260
Aug 1964,	253
Sep 1964,	248
Oct 1964,	249
Nov 1964,	251
Dec 1964,	250
Jan 1965,	248
Feb 1965,	248
Mar 1965,	246
Apr 1965,	250
May 1965,	243
Jun 1965,	238
Jul 1965,	232
Aug 1965,	227
Sep 1965,	224
Oct 1965,	225
Nov 1965,	234
Dec 1965,	228
Jan 1966,	227
Feb 1966,	221
Mar 1966,	227
Apr 1966,	228
May 1966,	220
Jun 1966,	215
Jul 1966,	207
Aug 1966,	202
Sep 1966,	203
Oct 1966,	197
Nov 1966,	196
Dec 1966,	196
Jan 1967,	193
Feb 1967,	191
Mar 1967,	192
Apr 1967,	192
May 1967,	190
Jun 1967,	190
Jul 1967,	182
Aug 1967,	175
Sep 1967,	179
Oct 1967,	187
Nov 1967,	190
Dec 1967,	190
Jan 1968,	189
Feb 1968,	188
Mar 1968,	192
Apr 1968,	203
May 1968,	203
Jun 1968,	202
Jul 1968,	201
Aug 1968,	200
Sep 1968,	203
Oct 1968,	211
Nov 1968,	219
Dec 1968,	218
Jan 1969,	214
Feb 1969,	210
Mar 1969,	215
Apr 1969,	223
May 1969,	225
Jun 1969,	224
Jul 1969,	222
Aug 1969,	217
Sep 1969,	220
Oct 1969,	228
Nov 1969,	227
Dec 1969,	228
Jan 1970,	212
Feb 1970,	207
Mar 1970,	214
Apr 1970,	220
May 1970,	221
Jun 1970,	219
Jul 1970,	220
Aug 1970,	212
Sep 1970,	215
Oct 1970,	217
Nov 1970,	217
Dec 1970,	227
Jan 1971,	219
Feb 1971,	212
Mar 1971,	220
Apr 1971,	229
May 1971,	237
Jun 1971,	248
Jul 1971,	248
Aug 1971,	250
Sep 1971,	263
Oct 1971,	274
Nov 1971,	284
Dec 1971,	294
Jan 1972,	295
Feb 1972,	298
Mar 1972,	312
Apr 1972,	323
May 1972,	338
Jun 1972,	357
Jul 1972,	361
Aug 1972,	375
Sep 1972,	383
Oct 1972,	398
Nov 1972,	408
Dec 1972,	416
Jan 1973,	412
Feb 1973,	402
Mar 1973,	408
Apr 1973,	412
May 1973,	416
Jun 1973,	425
Jul 1973,	432
Aug 1973,	433
Sep 1973,	427
Oct 1973,	428
Nov 1973,	425
Dec 1973,	422
Jan 1974,	413
Feb 1974,	405
Mar 1974,	402
Apr 1974,	403
May 1974,	396
Jun 1974,	393
Jul 1974,	383
Aug 1974,	376
Sep 1974,	362
Oct 1974,	361
Nov 1974,	355
Dec 1974,	350
Jan 1975,	345
Feb 1975,	339
Mar 1975,	330
Apr 1975,	325
May 1975,	321
Jun 1975,	321
Jul 1975,	323
Aug 1975,	320
Sep 1975,	321
Oct 1975,	330
Nov 1975,	319
Dec 1975,	316
Jan 1976,	311
Feb 1976,	306
Mar 1976,	314
Apr 1976,	320
May 1976,	326
Jun 1976,	336
Jul 1976,	343
Aug 1976,	338
Sep 1976,	341
Oct 1976,	349
Nov 1976,	357
Dec 1976,	358
Jan 1977,	349
Feb 1977,	342
Mar 1977,	353
Apr 1977,	358
May 1977,	360
Jun 1977,	369
Jul 1977,	379
Aug 1977,	390
Sep 1977,	392
Oct 1977,	403
Nov 1977,	408
Dec 1977,	408
Jan 1978,	401
Feb 1978,	389
Mar 1978,	398
Apr 1978,	403
May 1978,	408
Jun 1978,	422
Jul 1978,	420
Aug 1978,	421
Sep 1978,	419
Oct 1978,	414
Nov 1978,	422
Dec 1978,	419
Jan 1979,	408
Feb 1979,	393
Mar 1979,	416
Apr 1979,	416
May 1979,	426
Jun 1979,	420
Jul 1979,	420
Aug 1979,	419
Sep 1979,	414
Oct 1979,	414
Nov 1979,	409
Dec 1979,	402
Jan 1980,	390
Feb 1980,	380
Mar 1980,	369
Apr 1980,	359
May 1980,	349
Jun 1980,	341
Jul 1980,	338
Aug 1980,	332
Sep 1980,	339
Oct 1980,	342
Nov 1980,	344
Dec 1980,	342
Jan 1981,	333
Feb 1981,	326
Mar 1981,	323
Apr 1981,	327
May 1981,	323
Jun 1981,	318
Jul 1981,	312
Aug 1981,	307
Sep 1981,	306
Oct 1981,	297
Nov 1981,	286
Dec 1981,	278
Jan 1982,	273
Feb 1982,	264
Mar 1982,	264
Apr 1982,	263
May 1982,	256
Jun 1982,	253
Jul 1982,	251
Aug 1982,	248
Sep 1982,	249
Oct 1982,	248
Nov 1982,	250
Dec 1982,	255
Jan 1983,	256
Feb 1983,	253
Mar 1983,	259
Apr 1983,	264
May 1983,	271
Jun 1983,	283
Jul 1983,	288
Aug 1983,	296
Sep 1983,	302
Oct 1983,	302
Nov 1983,	309
Dec 1983,	304
Jan 1984,	301
Feb 1984,	304
Mar 1984,	316
Apr 1984,	325
May 1984,	331
Jun 1984,	340
Jul 1984,	340
Aug 1984,	346
Sep 1984,	345
Oct 1984,	349
Nov 1984,	353
Dec 1984,	358
